Name,SampID,Cruise,Vol_L,umol.in.vial.ave,nM.in.smp,nM_C,nM_N,nM_S
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S1_U_A,TN397,5,0.24174715134747846,0.019339772107798275,0.13537840475458793,0.019339772107798275,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S1_U_B,TN397,5,0.2039257873948024,0.01631406299158419,0.11419844094108933,0.01631406299158419,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S1_U_C,TN397,5,0.13464452083297193,0.010771561666637753,0.07540093166646426,0.010771561666637753,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S2_U_A,TN397,5,0.11669055561642058,0.009335244449313645,0.06534671114519551,0.009335244449313645,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S2_U_B,TN397,5,0.15500235887773145,0.012400188710218515,0.08680132097152961,0.012400188710218515,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S2_U_C,TN397,5,0.17077197506287123,0.013661758005029697,0.09563230603520788,0.013661758005029697,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S3_U_A,TN397,5,0.13246177799564987,0.01059694223965199,0.07417859567756394,0.01059694223965199,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S3_U_B,TN397,5,0.12698420046486983,0.010158736037189586,0.0711111522603271,0.010158736037189586,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S3_U_C,TN397,5,0.15992599962923115,0.012794079970338492,0.08955855979236944,0.012794079970338492,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_2400_U_A,TN397,5,0.17482407679803794,0.013985926143843036,0.09790148300690125,0.013985926143843036,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_2400_U_B,TN397,5,0.124743810502935,0.009979504840234799,0.06985653388164359,0.009979504840234799,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_2400_U_C,TN397,5,0.15464768672517512,0.012371814938014007,0.08660270456609805,0.012371814938014007,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_U_600_A,TN397,5,0.17937417947205092,0.014349934357764074,0.10044954050434851,0.014349934357764074,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_U_600_B,TN397,5,0.17175579843497862,0.013740463874798287,0.09618324712358801,0.013740463874798287,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_U_600_C,TN397,5,0.24134349559088572,0.019307479647270857,0.135152357530896,0.019307479647270857,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_U_1800_A,TN397,5,0.16725966894966532,0.013380773515973225,0.09366541461181258,0.013380773515973225,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_U_1800_B,TN397,5,0.1161731151934324,0.009293849215474591,0.06505694450832214,0.009293849215474591,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S4_U_1800_C,TN397,5,0.17854991906904594,0.014283993525523673,0.09998795467866571,0.014283993525523673,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S6_U_A,TN397,5,0.2615524184324502,0.020924193474596016,0.14646935432217212,0.020924193474596016,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S6_U_B,TN397,5,0.2362848083349194,0.01890278466679355,0.13231949266755486,0.01890278466679355,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S6_U_C,TN397,5,0.347032662993873,0.02776261303950984,0.19433829127656888,0.02776261303950984,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S7_600_U_A,TN397,5,0.21009459161473387,0.016807567329178708,0.11765297130425095,0.016807567329178708,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S7_600_U_B,TN397,5,0.24250067572338524,0.019400054057870816,0.1358003784050957,0.019400054057870816,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S7_600_U_C,TN397,5,0.2465823358197422,0.019726586865579376,0.13808610805905563,0.019726586865579376,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S7_1800_U_A,TN397,5,0.2877123291117726,0.023016986328941804,0.16111890430259262,0.023016986328941804,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S7_1800_U_B,TN397,5,0.2662220136044723,0.02129776108835778,0.14908432761850446,0.02129776108835778,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S7_1800_U_C,TN397,5,0.29410227874132056,0.023528182299305644,0.1646972760951395,0.023528182299305644,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S8_U_A,TN397,5,0.19957509603915527,0.01596600768313242,0.11176205378192694,0.01596600768313242,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S8_U_B,TN397,5,0.21047600589369428,0.01683808047149554,0.11786656330046877,0.01683808047149554,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S8_U_C,TN397,5,0.2232876680507394,0.01786301344405915,0.12504109410841405,0.01786301344405915,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S9_600_U_A,TN397,5,0.43146400661203926,0.03451712052896314,0.241619843702742,0.03451712052896314,NA
(3-Carboxypropyl)trimethylammonium,220902_Smp_TN397_S9_600_U_B,TN397,5,0.44307023822052943,0.035445619057642354,0.24811933340349648,0.035445619057642354,NA
