Name,SampID,Cruise,EE.adjust.conc,Empirical_Formula,C,N,S,Nmol.in.smp,Nmol.C,Nmol.N,Nmol.S
(3-Carboxypropyl)trimethylammonium,220623_Poo_TruePooG3-CXSPE_Full1,KM1906,0.11447144765028187,C7H16NO2,7,1,NA,0.11447144765028187,0.8013001335519732,0.11447144765028187,NA
(3-Carboxypropyl)trimethylammonium,220623_Poo_TruePooG3-CXSPE_Full2,KM1906,0.11100186330185176,C7H16NO2,7,1,NA,0.11100186330185176,0.7770130431129623,0.11100186330185176,NA
(3-Carboxypropyl)trimethylammonium,220623_Poo_TruePooG3-CXSPE_Full3,KM1906,0.11285978515201558,C7H16NO2,7,1,NA,0.11285978515201558,0.7900184960641091,0.11285978515201558,NA
(3-Carboxypropyl)trimethylammonium,220623_Poo_TruePooG3-CXSPE_Half1,KM1906,0.12589178174627444,C7H16NO2,7,1,NA,0.12589178174627444,0.881242472223921,0.12589178174627444,NA
(3-Carboxypropyl)trimethylammonium,220623_Poo_TruePooG3-CXSPE_Half2,KM1906,0.11012637674490092,C7H16NO2,7,1,NA,0.11012637674490092,0.7708846372143064,0.11012637674490092,NA
(3-Carboxypropyl)trimethylammonium,220623_Poo_TruePooG3-CXSPE_Half3,KM1906,0.13049115538732461,C7H16NO2,7,1,NA,0.13049115538732461,0.9134380877112723,0.13049115538732461,NA
(3-Carboxypropyl)trimethylammonium,220623_Smp_CXSPE_Blk1_A,KM1906,0.001102376545904068,C7H16NO2,7,1,NA,0.001102376545904068,0.007716635821328476,0.001102376545904068,NA
(3-Carboxypropyl)trimethylammonium,220623_Smp_CXSPE_Blk1_B,KM1906,0,C7H16NO2,7,1,NA,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220623_Smp_CXSPE_Blk1_C,KM1906,0.0013680087555915914,C7H16NO2,7,1,NA,0.0013680087555915914,0.00957606128914114,0.0013680087555915914,NA
(3-Carboxypropyl)trimethylammonium,220623_Smp_CXSPE_Blk2_A,KM1906,0.0049678999415778,C7H16NO2,7,1,NA,0.0049678999415778,0.0347752995910446,0.0049678999415778,NA
