Name,SampID,Vol_L,umol.in.vial.ave,nM.in.smp,nM_C,nM_N,nM_S
(3-Carboxypropyl)trimethylammonium,170706_Smp_S3E15D15_A,10,0.2120725139539322,0.016965801116314575,0.11876060781420203,0.016965801116314575,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S3E15D15_B,10,0.10573338017200698,0.008458670413760559,0.05921069289632391,0.008458670413760559,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S3E15D15_C,10,0.1444980744584181,0.011559845956673448,0.08091892169671414,0.011559845956673448,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S3E15E15_Ds,10,0.03996724453408013,0.003197379562726411,0.022381656939084876,0.003197379562726411,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S4E16D15_A,10,0.11159507667879856,0.008927606134303885,0.062493242940127196,0.008927606134303885,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S4E16D15_B,10,0.15697955936711683,0.012558364749369345,0.08790855324558541,0.012558364749369345,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S4E16D15_C,10,0.12609684014387976,0.01008774721151038,0.07061423048057267,0.01008774721151038,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S4E16D15_Ds,10,0.04587425955308823,0.003669940764247058,0.025689585349729406,0.003669940764247058,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S5E28D15_A,10,0.10769816596079423,0.008615853276863539,0.06031097293804477,0.008615853276863539,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S5E28D15_B,10,0.09961898404156522,0.007969518723325216,0.05578663106327651,0.007969518723325216,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S5E28D15_C,10,0.18729348295437903,0.014983478636350323,0.10488435045445225,0.014983478636350323,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S5E28D15_Ds,9.5,0.06475674626200041,0.005453199685221087,0.03817239779654761,0.005453199685221087,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S6E37D15_A,10,2.546971567989033,0.2037577254391226,1.4263040780738583,0.2037577254391226,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S6E37D15_B,10,1.6922996276489666,0.13538397021191734,0.9476877914834214,0.13538397021191734,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S6E37D15_C,10,1.2776121299263745,0.10220897039410995,0.7154627927587697,0.10220897039410995,NA
(3-Carboxypropyl)trimethylammonium,170706_Smp_S6E37D15_Ds,8.5,0.22846780505305705,0.021502852240287723,0.15051996568201406,0.021502852240287723,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S3E15D15_A,10,0.6346743671389916,0.05077394937111933,0.15232184811335797,NA,0.05077394937111933
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S3E15D15_B,10,0.20322249255741226,0.016257799404592977,0.048773398213778935,NA,0.016257799404592977
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S3E15D15_C,10,0.3659950004456518,0.029279600035652144,0.08783880010695644,NA,0.029279600035652144
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S3E15E15_Ds,10,0.032471033445394544,0.0025976826756315633,0.00779304802689469,NA,0.0025976826756315633
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S4E16D15_A,10,0.19646528972045485,0.015717223177636387,0.04715166953290916,NA,0.015717223177636387
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S4E16D15_B,10,0.4443022826892713,0.0355441826151417,0.10663254784542511,NA,0.0355441826151417
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S4E16D15_C,10,0.2118418841587039,0.01694735073269631,0.05084205219808893,NA,0.01694735073269631
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S4E16D15_Ds,10,0.08111744857991415,0.006489395886393133,0.019468187659179396,NA,0.006489395886393133
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S5E28D15_A,10,0.6264681014973693,0.05011744811978954,0.15035234435936862,NA,0.05011744811978954
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S5E28D15_B,10,0.7728305533934215,0.06182644427147372,0.18547933281442117,NA,0.06182644427147372
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S5E28D15_C,10,1.8755857403296492,0.15004685922637195,0.45014057767911586,NA,0.15004685922637195
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S5E28D15_Ds,9.5,0.3328456096507562,0.028029103970589997,0.08408731191176999,NA,0.028029103970589997
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S6E37D15_A,10,9.669655410189158,0.7735724328151327,2.320717298445398,NA,0.7735724328151327
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S6E37D15_B,10,8.489239068360122,0.6791391254688097,2.037417376406429,NA,0.6791391254688097
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S6E37D15_C,10,10.291130794273144,0.8232904635418513,2.469871390625554,NA,0.8232904635418513
"(R)-2,3-Dihydroxypropane-1-sulfonate",170706_Smp_S6E37D15_Ds,8.5,0.7957465913976429,0.07489379683742521,0.22468139051227565,NA,0.07489379683742521
2-O-alpha-D-Glucosylglycerol,170706_Smp_S3E15D15_A,10,0.018702716134123547,0.0014962172907298837,0.013465955616568954,NA,NA
2-O-alpha-D-Glucosylglycerol,170706_Smp_S3E15D15_B,10,0.021315494557833672,0.0017052395646266938,0.015347156081640244,NA,NA
