Name,Cruise,EE.adjust.lod,EE.adjust.Blk.Av
(3-Carboxypropyl)trimethylammonium,KM1906,0.007150478061103149,0.004011190884299507
(3-Carboxypropyl)trimethylammonium,KinExp,0.03938731608746255,0.02669056827229486
(3-Carboxypropyl)trimethylammonium,RC078,0.011823057308245037,0.007882756628112119
(3-Carboxypropyl)trimethylammonium,TN397,0.005565745943786486,0.004022162889069157
5-Hydroxyectoine,KM1906,0.0016101675836826426,9.645863883851029e-4
5-Hydroxyectoine,KinExp,0.007287422299427398,0.005412967743944718
5-Hydroxyectoine,RC078,0.0033695563618614858,0.002321490159251921
5-Hydroxyectoine,TN397,8.331922088382107e-4,5.350139021343506e-4
Betonicine,KM1906,0.0023213180319297546,0.0018073658039360419
Betonicine,KinExp,0.005101907470057217,0.00430028720840697
Betonicine,RC078,0.002819196497626842,0.0021827687847035208
Betonicine,TN397,0.0024083755151662954,0.0018175597494393039
Carnitine,KM1906,0.0039583656617648,0.0020707886829154296
Carnitine,KinExp,0.011607301953642346,0.00905989159972152
Carnitine,RC078,0.003139148560495685,0.0019768634921380696
Carnitine,TN397,0.0033606149917917863,0.002641075870856895
Dimethylsulfonioacetate,KM1906,1.664494712290494e-4,5.983086672503573e-5
Dimethylsulfonioacetate,KinExp,1.7049523245485652e-5,6.193070557749967e-6
Dimethylsulfonioacetate,RC078,9.714791799177568e-5,5.332108505552159e-5
Dimethylsulfonioacetate,TN397,0.0038746535936913366,0.001970772247389608
Dimethylsulfoniopropionate,KM1906,0.0011817333697833193,0
Dimethylsulfoniopropionate,KinExp,0.002040741894387886,0.0013209545989183499
Dimethylsulfoniopropionate,RC078,7.67221351143474e-5,3.4747164938024025e-5
Dimethylsulfoniopropionate,TN397,4.139029896990334e-4,1.6813421029676095e-4
Ectoine,KM1906,0.004297221477580085,0.002865864999138286
Ectoine,KinExp,0.0317414239648068,0.02209139824753721
Ectoine,RC078,0.011662001325232802,0.0075640781983852025
Ectoine,TN397,0.01164783629795434,0.009031410323910303
Gonyol,KM1906,0.3675885205683523,0.18065230326713688
Gonyol,KinExp,0.15091015918734016,0.08241523969746535
Gonyol,RC078,0.14523334798998752,0.07043531875610913
Gonyol,TN397,0.6857050117650281,0.46197001807007076
Homoserine Betaine (tentative),KM1906,0.0068692674572135674,0.004285342343571914
Homoserine Betaine (tentative),KinExp,0.007218668439755734,0.005435232069759766
Homoserine Betaine (tentative),RC078,9.733496619168946e-4,7.965438581867381e-4
Homoserine Betaine (tentative),TN397,0.01458075105706496,0.010359143941820324
Hydroxyisoleucine,KM1906,0.21358279448663453,0.12451940577951191
Hydroxyisoleucine,KinExp,0.6358538067186056,0.5146558853715067
Hydroxyisoleucine,RC078,0.14258417367308102,0.1145527105191224
Hydroxyisoleucine,TN397,0.18760632674682085,0.143712991307665
L-Arginine,KM1906,NA,NA
L-Arginine,KinExp,NA,NA
L-Arginine,RC078,NA,NA
L-Arginine,TN397,NA,NA
L-Asparagine,KM1906,0.1497162428960629,0.11871794769798036
L-Asparagine,KinExp,0.9846676596068374,0.8559512273709043
L-Asparagine,RC078,0.8792754839901923,0.7120552760874923
L-Asparagine,TN397,0.5456013827863635,0.4638799993952018
L-Aspartic acid,KM1906,0.9925754080442979,0.7826247292674362
L-Aspartic acid,KinExp,5.072613377440139,4.366092894605059
L-Aspartic acid,RC078,1.4429085958586993,1.0069874868764477
L-Aspartic acid,TN397,1.3308923765382001,0.9336259323679296
L-Glutamic acid,KM1906,0.7022955135814197,0.6068203566526679
L-Glutamic acid,KinExp,2.6293188709281106,2.288057963091264
L-Glutamic acid,RC078,1.4439087667144075,1.2094174088109693
L-Glutamic acid,TN397,0.4157342139721593,0.3129422535044235
L-Glutamine,KM1906,0.02116220844872349,0.017629762789725383
L-Glutamine,KinExp,0.11028686889165008,0.09191005001032196
L-Glutamine,RC078,0.02415787260008345,0.01910931837572719
L-Glutamine,TN397,0.0342409995962121,0.02841659483407414
L-Isoleucine,KM1906,1.7263132567238946,1.5363791100711945
L-Isoleucine,TN397,2.3857807452336433,2.113947359381068
L-Lysine,KM1906,0.21398679153190803,0.1209568227657222
L-Lysine,KinExp,1.0541086646696909,0.9186597780281825
L-Lysine,RC078,0.34574902268215457,0.27897996421307064
L-Lysine,TN397,0.40618156759419694,0.3100244041855208
L-Methionine,KM1906,NA,NA
L-Methionine,RC078,NA,NA
L-Serine,KM1906,2.1979863448069605,1.77347846297441
L-Serine,KinExp,6.3155188204137405,4.543861076771384
L-Serine,RC078,1.6337410131759216,1.1118716413780148
L-Serine,TN397,2.714396339649209,1.5876137714286607
L-Threonine,KM1906,0.5344924808639906,0.4082588489526944
L-Threonine,KinExp,2.78255727215788,2.0256798304232366
L-Threonine,RC078,0.476256365777464,0.26380014096030174
L-Threonine,TN397,0.5469103288528803,0.4617026119353246
L-Tyrosine,KM1906,0.10231016555656883,0.06758451460418148
L-Tyrosine,KinExp,1.3897250542721826,1.035661021626147
L-Tyrosine,RC078,0.5572130332433604,0.45187607737674557
L-Tyrosine,TN397,0.46319048301145155,0.2172863400346803
Proline betaine,KM1906,0.0048675333817088445,0.003241423244015273
Proline betaine,KinExp,0.021532450439569237,0.018218234826718218
Proline betaine,RC078,0.00397424717005692,0.002990681652082367
Proline betaine,TN397,0.006168159892660447,0.004697228264611522
Sarcosine,KM1906,0.2959210066783956,0.222130966004673
Sarcosine,KinExp,0.09036315680108421,0.0707003106509502
Sarcosine,RC078,0.08205428565580314,0.061545261583822425
Sarcosine,TN397,0.18094399370152398,0.12742350903287986
Threonine Betaine (tentative),KM1906,0.018378835805306082,0.015777765731964415
Threonine Betaine (tentative),KinExp,0.015814559959050793,0.013770118938926783
Threonine Betaine (tentative),RC078,0.002845160070192072,0.002212894570586577
Threonine Betaine (tentative),TN397,0.02472446955361641,0.01944614332176645
Trigonelline,KM1906,0.03750271575316794,0.02987831339969967
Trigonelline,KinExp,0.057968182811837514,0.046855138939768816
Trigonelline,RC078,0.020541787210744233,0.014117104259118765
Trigonelline,TN397,0.11136948675484219,0.06914543102971714
Trimethylamine N-oxide,KM1906,0.04353807507211862,0.032691988349978676
Trimethylamine N-oxide,KinExp,0.14002951975341033,0.11502909048714002
Trimethylamine N-oxide,RC078,0.08253280201165863,0.06447003294430625
Trimethylamine N-oxide,TN397,0.028633848564684674,0.019744090407821952
beta-Alanine,KM1906,0.4495995567582819,0.40173549340602976
beta-Alanine,KinExp,0.7471042810848258,0.6402025178330498
beta-Alanine,RC078,0.4478737638503849,0.36737666636230565
beta-Alanine,TN397,1.22825656120496,0.9874880619599138
beta-Alaninebetaine,KM1906,0.00757121399327363,0.0060588737422593315
beta-Alaninebetaine,KinExp,0.009717213751208697,0.007486099057826864
beta-Alaninebetaine,RC078,0.012340713656467123,0.006970196475502888
beta-Alaninebetaine,TN397,0.010778520742097316,0.00763764633074434
beta-Glutamic acid,KM1906,0.24188565474952708,0.20577323756257673
beta-Glutamic acid,KinExp,0.2935853825739665,0.22836628001361373
beta-Glutamic acid,RC078,0.24595636053906045,0.2105130690553344
beta-Glutamic acid,TN397,0.11535047900580721,0.0819960502995698
Arsenobetaine,KM1906,2.219675314208142e-5,7.978703501826535e-6
Arsenobetaine,KinExp,0,0
Arsenobetaine,RC078,3.674315832608618e-5,1.671718610860594e-5
Arsenobetaine,TN397,7.494036252568757e-5,4.467173733022506e-5
Cytosine,KM1906,0,0
Cytosine,KinExp,0,0
Cytosine,RC078,0,0
Cytosine,TN397,0,0
